Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']",[],0,0.0,0,25,0
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['mobile manipulator imaging system', 'bridge crack inspection', 'bridge safety inspections', 'bridge inspection vehicle', 'temporarily erected scaffolding', 'bridge crack inspection process', 'mobile vehicle', 'binocular charge coupled devices', 'CCD']",0.1111111111111111,0.14285714285714285,0.125,7,9
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', 'safe problem', '']",0.041666666666666664,0.25,0.07142857142857142,4,24
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['wireless communications', 'wireless markup language', 'WML', 'hypertext markup language', 'HTML', 'mobile phone screens', 'WAP sites', 'WAP content', 'communication cost', 'WAP management system', 'WAP site management system', 'wireless markup language -LRB- WML -RRB-', 'hypertext markup language -LRB- HTML -RRB-', 'WAP users']",0.21428571428571427,0.6,0.3157894736842105,5,14
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['inverse method', 'Airy stress function method', 'piezoelectric cantilever', 'tip deflection', 'blocking force', 'density distribution profile']",0.3333333333333333,0.25,0.28571428571428575,8,6
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['decomposition', 'q-partitions', 'minterms', 'disjunctive decomposition', 'partial functions']",0.6,0.75,0.6666666666666665,4,5
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['building management systems', 'technology acceptance', 'user perceptions', 'ease of use', 'compatibility']",0.8,0.6666666666666666,0.7272727272727272,6,5
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['finite-element', 'schemes', 'optimal', 'control', 'elliptic', 'system', 'conjugation', 'conditions', 'New', 'optimal', 'control', 'problems', 'distributed', 'systems', 'described', 'by', 'elliptic', 'equations', 'with', 'conjugate', 'conditions', 'highly', 'accurate', 'computational', 'discretization', 'schemes', 'are', 'constructed', 'for', 'the', 'case', 'where', 'a']",0.0,0.0,0,6,33
"['systemological analysis', 'formal system representation', 'axiomatics']","['object-oriented systemological method', 'formal system representation', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm', 'no. 81', 'p']",0.16666666666666666,0.3333333333333333,0.2222222222222222,3,6
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['electronic devices', 'electronic government procurement', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', 'electronic devices', '']",0.0,0.0,0,8,23
